	type	cluster	gustatory	hygrosensory	mechanosensory	mechanosensory_auditory	mechanosensory_eye_bristle	mechanosensory_head_bristle	mechanosensory_jo	mechanosensory_taste_peg	ocellar	olfactory	thermosensory	visual_projection	visual
11	DNge075	1	3.51506024096386	6.15963855421687	4.31927710843373	7.53012048192771	6.15361445783133	4.71686746987952	6.50903614457831	5.47590361445783	9.25	5.55722891566265	6.45783132530121	4.51204819277108	7.7710843373494
12	DNge077	1	4.07530120481928	6.41265060240964	4.84638554216868	7.62951807228916	6.59638554216868	5.51807228915663	6.68975903614458	5.2710843373494	9.22289156626506	6.02710843373494	6.58433734939759	4.85240963855422	8.06024096385542
13	DNpe007	1	3.05120481927711	7.18975903614458	4.28012048192771	7.62048192771084	5.66566265060241	4.8644578313253	6.54819277108434	6.06024096385542	9.84036144578313	6.50903614457831	7.22289156626506	5.00903614457831	8.29216867469879
14	DNpe049	1	2.77710843373494	6.76506024096386	4.39759036144578	7.85542168674699	6.22590361445783	4.81927710843373	6.80120481927711	5.4789156626506	9.77409638554217	6.07228915662651	7.0210843373494	4.82831325301205	8.16265060240964
354	DNg67	2	2.11144578313253	7.5933734939759	5.15361445783133	9.23572471705002	7.60240963855422	5.92771084337349	8.14759036144578	7.01555312157722	10.9636363636364	7.7289156626506	7.96987951807229	6.5210843373494	9.53444687842278
355	DNge172	2	5.18975903614458	7.34036144578313	2.32530120481928	8.40060240963856	7.1355421686747	6.06927710843373	7.55120481927711	6.58734939759036	9.79819277108434	7.33734939759036	7.79518072289157	5.60240963855422	8.4578313253012
356	DNp58	2	4.23493975903614	6.85542168674699	4.66265060240964	8.5210843373494	7.46084337349398	6.48493975903614	7.75301204819277	6.42771084337349	9.60843373493976	7.0210843373494	7.28915662650602	5.41265060240964	8.21084337349398
357	DNp65	2	4.13253012048193	7.28614457831325	5.39156626506024	8.93373493975904	8.03012048192771	6.96385542168675	8.31927710843373	6.70180722891566	10.0481927710843	7.20180722891566	7.61746987951807	5.83734939759036	8.44879518072289
358	DNpe036	2	4.46385542168675	6.96987951807229	5.25602409638554	8.71084337349398	7.90060240963855	6.9789156626506	7.98795180722892	6.77409638554217	9.72590361445783	6.60843373493976	7.26506024096386	5.4066265060241	8.14156626506024
359	DNg23	3	4.70180722891566	8.20783132530121	2.39156626506024	7.56325301204819	5.31927710843373	2.68674698795181	6	5.44578313253012	9.78915662650602	7.59036144578313	8.34638554216867	5.91265060240964	9.20180722891566
360	DNg37	3	5.38253012048193	8.07228915662651	2.3433734939759	6.66566265060241	4.58433734939759	2.43975903614458	4.97590361445783	5.41265060240964	9.32228915662651	7.01506024096386	8.07530120481928	4.96385542168675	8.37951807228916
361	DNg48	3	4.70180722891566	8.34790069368383	2.17771084337349	8.00903614457831	3.56927710843373	2.25903614457831	6.33433734939759	5.88855421686747	10.399452354874	7.78012048192771	8.67771084337349	6.26807228915663	9.58132530120482
362	DNg54	3	4.6355421686747	7.88855421686747	3.00301204819277	7.42771084337349	5.66867469879518	3.1566265060241	6.18975903614458	4.58433734939759	9.47590361445783	7.51506024096386	8.28614457831325	5.56024096385542	8.71084337349398
363	DNg61	3	4.44578313253012	7.73192771084337	3.10542168674699	7.59036144578313	5.77409638554217	3.27710843373494	6.22289156626506	5.07228915662651	9.21084337349398	7.37349397590361	7.96084337349398	5.24096385542169	8.66265060240964
364	DNg72	3	5.04367469879518	8.2289156626506	3.14156626506024	7.37951807228916	5.70632530120482	3.46987951807229	6.05873493975904	5.52409638554217	9.16114457831325	7.58433734939759	8.36295180722892	5.45331325301205	8.73042168674699
365	DNge021	3	4.36746987951807	7.71987951807229	3.10240963855422	7.46385542168675	5.08734939759036	3.18674698795181	6.19277108433735	4.98493975903614	9.48192771084337	7.20783132530121	8.03313253012048	5.56325301204819	8.77710843373494
366	DNge025	3	4.94879518072289	7.81024096385542	2.68975903614458	7.08132530120482	3.63855421686747	3.16566265060241	5.63253012048193	5.39156626506024	9.32530120481928	7.03915662650602	7.9066265060241	5.18373493975904	8.48192771084337
367	DNge036	3	4.48192771084337	7.76506024096386	3.06626506024096	7.45783132530121	5.61144578313253	3.10542168674699	6.26204819277108	5.20783132530121	9.24698795180723	7.34036144578313	8.05421686746988	5.34036144578313	8.64759036144578
368	DNge055	3	4.35542168674699	7.77409638554217	3.15361445783132	7.61746987951807	5.37048192771084	3.25602409638554	6.09638554216867	5.00602409638554	9.37349397590361	7.37048192771084	8.0421686746988	5.66566265060241	8.77409638554217
369	DNge056	3	5.07831325301205	7.88253012048193	2.4789156626506	6.98493975903614	4.45481927710843	2.49397590361446	5.24096385542169	5.75301204819277	9.37951807228916	6.88855421686747	8.10843373493976	5.13855421686747	8.51807228915663
370	DNge057	3	3.90963855421687	7.6355421686747	2.87048192771084	7.82530120481928	5.71987951807229	3.01506024096386	6.48192771084337	5.18373493975904	9.46987951807229	7.29819277108434	7.91867469879518	5.65060240963855	8.85240963855422
371	DNge067	3	4.70180722891566	8.37951807228916	2.27710843373494	7.45783132530121	3.58433734939759	2.5	5.38855421686747	5.94879518072289	9.69879518072289	7.10240963855422	8.44879518072289	5.59036144578313	9.05421686746988
372	DNge096	3	4.86746987951807	8.28614457831325	2.68373493975904	7.15361445783133	5.51204819277108	2.74397590361446	5.90963855421687	5.65060240963855	9.43072289156627	7.4066265060241	8.3433734939759	5.54518072289157	8.92469879518072
373	DNg20	4	6.65963855421687	8.66363636363636	2.08132530120482	7.95208105147864	2.6355421686747	2.28012048192771	4.94578313253012	8.2289156626506	10.5654101995565	7.65904723187227	8.78605330412559	5.82530120481928	9.32595837897043
374	DNg59	4	6.37951807228916	8.31024096385542	2.19277108433735	6.90963855421687	3.79819277108434	2.23192771084337	4.97590361445783	7.20180722891566	9.53313253012048	7.21385542168675	8.39759036144578	5.26506024096386	8.66265060240964
375	DNg83	4	7.3644578313253	9.39305369626655	2.06024096385542	8.51515151515152	2.34036144578313	2.43072289156627	6.37349397590361	8.25301204819277	10.7900620888462	8.3324023366192	9.33363943579195	6.22590361445783	9.84379823075475
376	DNg84	4	7.32530120481928	8.26807228915663	2.14457831325301	6.11746987951807	2.55421686746988	2.44879518072289	4.46987951807229	8.39759036144578	9.79946415373245	6.90060240963855	8.29518072289157	5.56024096385542	9.0421686746988
377	DNg85	4	5.85843373493976	8.72289156626506	2.14156626506024	7.45481927710843	3.15060240963855	2.24096385542169	5.25602409638554	6.79216867469879	10.2710843373494	7.22289156626506	8.96385542168675	6.07530120481928	9.45481927710843
378	DNg87	4	6.12349397590361	8.48192771084337	2.20180722891566	6.62048192771084	2.72590361445783	2.55120481927711	4.68373493975904	6.94277108433735	9.95481927710843	7.3433734939759	8.59939759036144	5.67771084337349	8.95180722891566
379	DNge104	4	6.30120481927711	8.21987951807229	2.21084337349398	6.96385542168675	2.68373493975904	2.57228915662651	5.16867469879518	7.42771084337349	9.77409638554217	6.98493975903614	8.33734939759036	5.09939759036145	8.50903614457831
380	DNge121	4	4.83433734939759	8.52409638554217	2.16265060240964	7.28614457831325	3.01506024096386	2.3644578313253	5.12951807228916	7.26506024096386	9.98493975903614	7.40963855421687	8.50301204819277	5.65361445783133	8.89457831325301
381	DNge122	4	6.06927710843373	8.11746987951807	2.2921686746988	6.83132530120482	3.03313253012048	2.51204819277108	5.25903614457831	6.95180722891566	9.3433734939759	7.10542168674699	8.19879518072289	5.03915662650602	8.4066265060241
382	DNge132	4	7.51807228915663	8.62650602409639	2.12951807228916	6.63253012048193	2.43674698795181	2.49698795180723	4.88855421686747	8.52409638554217	10.035850719953	7.87048192771084	8.76506024096386	5.52710843373494	9.01807228915663
383	DNp20	5	7.78313253012048	8.17771084337349	5.16566265060241	6.81024096385542	7.19578313253012	6.63855421686747	5.21987951807229	8.74698795180723	3.33734939759036	7.77710843373494	8.35240963855422	2.64759036144578	6.18373493975904
384	DNp22	5	7.87951807228916	7.93072289156627	5.09036144578313	6.62048192771084	7.14457831325301	6.60843373493976	5.19277108433735	8.79819277108434	3.48795180722892	7.40361445783132	8.06024096385542	2.71686746987952	6.07530120481928
385	DNp28	5	8.10240963855422	7.92771084337349	4.79518072289157	6.85542168674699	7.44277108433735	6.74397590361446	4.79518072289157	9.22590361445783	2.19578313253012	7.74397590361446	8.21084337349398	3.85240963855422	6.91265060240964
386	DNa05	6	7.2710843373494	7.37650602409639	5.05722891566265	6.6355421686747	6.43975903614458	5.91265060240964	5.47289156626506	8.47289156626506	7.19578313253012	6.93674698795181	7.51807228915663	3.49096385542169	6.8855421686747
387	DNa16	6	7.18674698795181	7.46987951807229	4.85843373493976	6.64759036144578	6.31927710843373	5.94578313253012	5.28614457831325	8.20180722891566	7.16867469879518	6.94879518072289	7.58433734939759	3.44879518072289	6.81927710843373
388	DNae006	6	7.54518072289157	7.20481927710843	4.46987951807229	6.4789156626506	6.51506024096386	5.95180722891566	4.58433734939759	8.59638554216868	6.98493975903614	6.79819277108434	7.3644578313253	3.55722891566265	6.99397590361446
389	DNb02	6	7.01204819277108	7.67319277108434	5.16114457831325	6.59638554216868	6.40512048192771	5.92620481927711	5.37048192771084	7.98042168674699	7.25	7.21536144578313	7.73343373493976	3.44879518072289	6.93072289156627
390	DNb06	6	7.3855421686747	7.8644578313253	5.01807228915663	6.65361445783133	6.80722891566265	6.32530120481928	5.23493975903614	8.35542168674699	5.04216867469879	7.32228915662651	7.9066265060241	2.91867469879518	6.32228915662651
391	DNbe005	6	7.59036144578313	7.34036144578313	4.62650602409639	6.44879518072289	6.78614457831325	6.24096385542169	4.7289156626506	8.69879518072289	6.09036144578313	7.06927710843373	7.39156626506024	3.45783132530121	6.72590361445783
392	DNg04	6	7.33584337349398	7.54066265060241	4.82530120481928	6.65813253012048	6.37650602409639	6.00150602409639	5.125	8.24849397590361	7.06626506024096	7.01204819277108	7.60240963855422	3.65813253012048	7.02861445783133
393	DNg05_a	6	7.54819277108434	7.40060240963855	3.66265060240964	6.52409638554217	6.56024096385542	5.84939759036145	3.81626506024096	8.52409638554217	7.05722891566265	7.08132530120482	7.5933734939759	3.61144578313253	7.12349397590361
394	DNg05_b	6	7.59236947791165	7.2710843373494	4.15763052208835	6.38353413654619	6.55722891566265	5.94879518072289	4.19076305220884	8.63253012048193	7.04819277108434	7.00602409638554	7.33835341365462	3.74598393574297	7.1636546184739
395	DNg10	6	7.69076305220884	8.12801204819277	4.87098393574297	6.67821285140562	6.71787148594377	6.18122489959839	4.9754016064257	8.3855421686747	6.98644578313253	7.75502008032128	8.214859437751	4.33734939759036	7.53765060240964
396	DNg11	6	8.22389558232932	7.82228915662651	4.68172690763052	6.42269076305221	7.38453815261044	6.81927710843373	4.64558232931727	9.28915662650602	6.4066265060241	7.62248995983936	7.90461847389558	2.56425702811245	5.87550200803213
397	DNg18_a	6	7.99397590361446	7.67771084337349	4.18674698795181	6.17168674698795	6.95481927710843	6.3644578313253	4.15963855421687	8.98192771084337	6.15963855421687	7.49397590361446	7.84939759036145	2.77710843373494	5.99096385542169
398	DNg18_b	6	8.02409638554217	7.80522088353414	4.19377510040161	6.1285140562249	6.88453815261044	6.33433734939759	4.19779116465863	8.90461847389558	6.2640562248996	7.45481927710843	7.84437751004016	3.42369477911647	6.46084337349398
399	DNg36_b	6	7.84939759036145	7.68192771084337	4.99036144578313	6.22530120481928	7.10240963855422	6.55903614457831	4.97710843373494	8.76265060240964	6.49156626506024	7.26987951807229	7.64578313253012	2.95542168674699	6.36144578313253
400	DNg42	6	7.55421686746988	7.44578313253012	5.06626506024096	6.64457831325301	6.59939759036145	6.1566265060241	5.15963855421687	8.49698795180723	7.04216867469879	7.10843373493976	7.45180722891566	3.75	7.13253012048193
401	DNg46	6	7.68373493975904	8.27710843373494	5.62048192771084	6.98192771084337	7.10240963855422	6.65361445783133	5.79216867469879	8.46084337349398	6.81927710843373	7.73795180722892	8.3433734939759	2.29819277108434	6.13253012048193
402	DNg71	6	7.5210843373494	7.15963855421687	4.92469879518072	6.63253012048193	6.35240963855422	6.13855421686747	5.18373493975904	8.24096385542169	7.28313253012048	6.79216867469879	7.20481927710843	3.60843373493976	7.17469879518072
403	DNg79	6	7.46536144578313	7.27409638554217	4.58433734939759	6.1460843373494	6.45933734939759	5.9066265060241	4.76656626506024	8.50903614457831	6.73795180722892	6.83283132530121	7.27861445783132	2.78313253012048	6.3960843373494
404	DNg94	6	7.62951807228916	7.93674698795181	4.97590361445783	6.57530120481928	6.99698795180723	6.4789156626506	5.11144578313253	8.57831325301205	5.98493975903614	7.40963855421687	7.90060240963855	2.70180722891566	6.26807228915663
405	DNge006	6	6.98493975903614	7.9789156626506	5.15963855421687	6.57530120481928	6.3644578313253	5.79216867469879	5.5	7.71686746987952	7.24397590361446	7.48795180722892	8.07831325301205	3.56325301204819	7.15963855421687
406	DNge014	6	7.72590361445783	7.28012048192771	4.3644578313253	6.34939759036145	6.66566265060241	6.18674698795181	4.4789156626506	8.8433734939759	7.12048192771084	7.04216867469879	7.42469879518072	3.75903614457831	7.21686746987952
407	DNge015	6	7.51907630522088	7.42269076305221	4.52208835341365	6.47991967871486	6.65060240963855	6.06325301204819	4.59939759036145	8.55522088353414	7.00100401606426	7.20983935742972	7.55622489959839	3.76104417670683	7.1566265060241
408	DNge017	6	7.16867469879518	7.39759036144578	4.82831325301205	6.62048192771084	6.4789156626506	6.09036144578313	5.02710843373494	8.31024096385542	7.19879518072289	6.98192771084337	7.5	3.68072289156626	6.96686746987952
409	DNge043	6	7.44879518072289	7.62048192771084	4.43373493975904	6.30120481927711	6.61746987951807	6.14457831325301	4.36746987951807	8.3644578313253	6.12951807228916	6.99698795180723	7.51204819277108	2.84036144578313	6.12650602409639
410	DNge045	6	7.16867469879518	7.45481927710843	4.28614457831325	6.60542168674699	6.18373493975904	5.68975903614458	4.57228915662651	7.95180722891566	7.0933734939759	7.1355421686747	7.50903614457831	3.75301204819277	7.13253012048193
411	DNge070	6	7.10542168674699	7.83433734939759	4.93373493975904	6.63855421686747	6.23192771084337	5.80421686746988	5.24096385542169	7.97289156626506	5.8855421686747	7.28313253012048	7.89759036144578	2.92469879518072	5.99698795180723
412	DNge071	6	7.82003012048193	8.0417921686747	5.03652108433735	6.62951807228916	6.9164156626506	6.36332831325301	5.1355421686747	8.53840361445783	6.99623493975904	7.7503765060241	8.15060240963855	4.00451807228916	7.3539156626506
413	DNge072	6	7.18975903614458	7.69879518072289	4.74397590361446	6.53614457831325	6.31024096385542	5.72289156626506	5.03012048192771	7.84638554216868	7.01506024096386	7.31024096385542	7.74096385542169	3.8433734939759	7.23795180722892
414	DNge085	6	7.960569550931	7.99014238773275	4.70646221248631	6.52464403066813	6.97973713033954	6.37513691128149	4.72836801752464	8.73822562979189	6.31653888280394	7.65279299014239	8.06516976998905	3.57119386637459	6.65060240963855
415	DNge086	6	7.12048192771084	7.7289156626506	4.86746987951807	6	6.41566265060241	5.80421686746988	5.06927710843373	7.83433734939759	7.12048192771084	7.31024096385542	7.84939759036145	3.50602409638554	7
416	DNge088	6	7.54819277108434	7.98795180722892	5.37650602409639	6.75301204819277	6.80421686746988	6.29819277108434	5.53012048192771	8.31024096385542	5.37048192771084	7.46686746987952	8.16566265060241	2.81325301204819	6.30421686746988
417	DNge092	6	7.8644578313253	7.89457831325301	4.53012048192771	6.10993975903614	6.83433734939759	6.25602409638554	4.54969879518072	8.51807228915663	6.77409638554217	7.65210843373494	7.92771084337349	3.58433734939759	7.07078313253012
418	DNge095	6	7.53012048192771	7.93674698795181	4.62048192771084	6.46686746987952	6.67469879518072	6.07831325301205	4.70783132530121	8.39457831325301	6.37951807228916	7.69879518072289	8.15963855421687	4.00602409638554	7.12951807228916
419	DNge097	6	7.90060240963855	8.0933734939759	5.00602409638554	6.44879518072289	7.07530120481928	6.70481927710843	5.16566265060241	8.65060240963856	6.6355421686747	7.54518072289157	8.10843373493976	2.7289156626506	6.49698795180723
420	DNge107	6	7.80421686746988	7.5	4.47289156626506	6.26204819277108	7.03012048192771	6.42469879518072	4.45783132530121	8.97289156626506	4.3855421686747	6.98192771084337	7.56024096385542	3.00602409638554	6.2710843373494
421	DNge108	6	7.65461847389558	7.86345381526104	4.48995983935743	6.56425702811245	6.76104417670683	6.16465863453815	4.55622489959839	8.38152610441767	6.57429718875502	7.65863453815261	8.06224899598394	3.87349397590361	7.04819277108434
422	DNge109	6	7.45783132530121	7.82530120481928	4.83734939759036	6.63253012048193	6.6355421686747	6.05421686746988	4.95783132530121	8.18072289156627	6.06927710843373	7.59036144578313	7.97289156626506	3.51506024096386	6.65361445783133
423	DNge114	6	7.83032128514056	7.93775100401606	5.13453815261044	6.70381526104418	7.05321285140562	6.52911646586345	5.24598393574297	8.73293172690763	6.40060240963855	7.67871485943775	7.99397590361446	3.26606425702811	6.69578313253012
424	DNge115	6	7.56777108433735	7.95632530120482	4.80647590361446	6.46536144578313	6.67018072289157	6.07680722891566	4.89984939759036	8.26581325301205	6.85768072289157	7.53539156626506	8.02259036144578	3.86596385542169	7.19503012048193
425	DNge116	6	8	8.05873493975904	4.91867469879518	6.51506024096386	7.08283132530121	6.50753012048193	4.8855421686747	8.76355421686747	6.56325301204819	7.68674698795181	8.12349397590361	3.66867469879518	6.99698795180723
426	DNge117	6	8.14457831325301	7.88253012048193	4.98795180722892	6.53313253012048	7.30421686746988	6.81325301204819	4.95783132530121	9.05120481927711	6.73192771084337	7.67771084337349	7.99698795180723	3.10542168674699	6.18674698795181
427	DNge118	6	7.54518072289157	7.71385542168675	3.79216867469879	6.18975903614458	6.5933734939759	5.76506024096386	3.96084337349398	8.39759036144578	6.85240963855422	7.3433734939759	7.78614457831325	3.68072289156627	7.01204819277108
428	DNge126	6	7.78313253012048	7.8433734939759	4.59638554216868	6.32530120481928	6.99096385542169	6.38855421686747	4.6355421686747	8.82228915662651	6.69879518072289	7.51807228915663	7.89759036144578	3.37650602409639	6.92771084337349
429	DNge156	6	7.53012048192771	7.55421686746988	3.74096385542169	6.48795180722892	6.64457831325301	6.10843373493976	3.75903614457831	8.04216867469879	6.44578313253012	7.45180722891566	7.90963855421687	4.10240963855422	7.30722891566265
430	DNp102	6	7.1566265060241	7.23493975903614	5.28614457831325	6.9066265060241	6.45783132530121	6.0210843373494	5.59638554216867	8.52710843373494	5.68674698795181	6.74096385542169	7.35843373493976	2.66566265060241	6.05722891566265
431	DNp16	6	7.31475903614458	7.70030120481928	5.2289156626506	6.84638554216867	6.82831325301205	6.29668674698795	5.3539156626506	8.32379518072289	5.40512048192771	7.13704819277108	7.82831325301205	2.54969879518072	5.70030120481928
432	DNp17	6	7.5035140562249	8.13303212851406	5.41616465863454	6.79267068273092	6.87801204819277	6.35542168674699	5.60491967871486	8.20833333333333	6.72138554216867	7.64558232931727	8.19327309236948	2.56576305220884	6.35291164658635
433	DNp18	6	7.66566265060241	7.02710843373494	3.87048192771084	5.53915662650602	6.54216867469879	5.94578313253012	3.74096385542169	8.60843373493976	5.43373493975904	6.71084337349398	7.24397590361446	3.04819277108434	6.69578313253012
434	DNp19	6	7.48192771084337	7.47590361445783	3.64457831325301	5.76807228915663	6.54518072289157	5.95481927710843	3.67168674698795	8.69578313253012	5.9789156626506	6.87650602409639	7.53915662650602	2.78614457831325	5.78915662650602
435	DNp40	6	7.87951807228916	7.54518072289157	4.83433734939759	6.29819277108434	6.9789156626506	6.5	4.84638554216867	8.97289156626506	5.43975903614458	7.31626506024096	7.72590361445783	2.76506024096386	5.76506024096386
436	DNp41	6	7.84638554216868	7.4789156626506	4.54367469879518	6.41265060240964	7.09638554216867	6.66114457831325	4.43825301204819	9.06777108433735	6.73493975903614	7.24096385542169	7.58132530120482	2.45632530120482	5.70783132530121
437	DNp53	6	7.34036144578313	7.70180722891566	5.2710843373494	6.73795180722892	6.76204819277108	6.16265060240964	5.48192771084337	8.29819277108434	5.62349397590361	7	7.78012048192771	2.7078313253012	5.98192771084337
438	DNp72	6	7.95783132530121	8.09638554216867	5.15060240963855	6.62048192771084	7.21084337349398	6.63253012048193	5.12048192771084	8.78313253012048	6.49397590361446	7.80722891566265	8.33734939759036	2.54819277108434	6.39156626506024
439	DNpe004	6	7.23795180722892	7.53012048192771	4.94879518072289	6.50602409638554	6.61746987951807	6.10843373493976	5.10240963855422	8.25	5.69578313253012	6.96987951807229	7.5933734939759	2.81325301204819	5.93373493975904
440	DNpe008	6	7.67269076305221	8.13621151271754	5.47255689424364	6.73360107095047	7.02309236947791	6.44812583668005	5.59036144578313	8.40327978580991	6.6161311914324	7.73493975903614	8.18038821954485	2.76171352074967	6.48828647925033
441	DNpe009	6	7.18900602409639	7.79819277108434	5.34563253012048	6.82454819277108	6.44728915662651	6.05421686746988	5.625	7.97138554216868	6.52183734939759	7.27409638554217	7.91716867469879	3.33132530120482	6.46686746987952
442	DNpe011	6	7.55163511187608	7.55765920826162	5.12822719449226	6.71170395869191	7.02753872633391	6.5197934595525	5.19104991394148	8.69104991394148	6.37607573149742	7.17297762478485	7.67383820998279	2.55851979345955	5.62908777969019
443	DNpe012	6	7.64683734939759	7.5105421686747	5.06024096385542	6.56777108433735	7.12048192771084	6.61596385542169	5.10993975903614	8.8441265060241	6.55421686746988	7.20557228915663	7.62349397590361	2.65060240963855	5.89984939759036
444	DNpe013	6	6.90963855421687	7.7289156626506	5.22590361445783	6.8855421686747	6.50602409638554	5.70783132530121	5.71987951807229	7.78012048192771	6.51506024096386	6.92771084337349	7.71084337349398	2.91265060240964	6.17469879518072
445	DNpe014	6	8.19427710843373	7.9066265060241	4.8433734939759	6.35090361445783	7.35843373493976	6.83885542168675	4.86295180722892	9.25451807228916	6.67168674698795	7.58283132530121	7.93674698795181	2.33885542168675	5.62951807228916
446	DNpe015	6	7.80361445783133	7.84096385542169	5.18855421686747	6.56927710843374	7.01385542168675	6.55602409638554	5.20963855421687	8.68373493975904	6.42168674698795	7.34156626506024	7.88072289156626	3.12710843373494	6.36204819277108
447	DNpe017	6	7.34638554216868	7.41265060240964	4.50903614457831	6.49698795180723	6.74397590361446	6.10240963855422	4.59036144578313	8.6144578313253	4.53012048192771	7.06024096385542	7.60542168674699	2.72590361445783	5.87951807228916
448	DNpe032	6	7.16265060240964	7.25602409638554	4.90361445783132	6.65361445783132	6.92168674698795	6.46084337349398	4.91566265060241	8.53915662650602	6.71686746987952	7.00602409638554	7.36144578313253	2.75	5.76807228915663
449	DNpe054	6	7.90963855421687	8.03237951807229	5.42921686746988	6.57003012048193	7.10617469879518	6.62123493975904	5.53012048192771	8.68674698795181	6.56551204819277	7.64156626506024	8.0835843373494	2.74322289156627	6.39457831325301
450	DNc01	7	5.51204819277108	6.41867469879518	5.75903614457831	7.51506024096386	7.30722891566265	6.74096385542169	6.72289156626506	7.56927710843373	8.83132530120482	4.54518072289157	6.6144578313253	3.89457831325301	5.22590361445783
451	DNc02	7	5.77409638554217	6.41566265060241	5.62048192771084	6.98795180722892	7.01506024096386	6.72590361445783	6.19277108433735	7.92168674698795	8.73795180722892	4.64759036144578	6.57530120481928	4.0933734939759	5.08734939759036
452	DNp24	7	5.56325301204819	5.32530120481928	5.70481927710843	6.94879518072289	6.94277108433735	6.42771084337349	6.41265060240964	7.74698795180723	8.71686746987952	5.51204819277108	6.07530120481928	4.03614457831325	7.18373493975904
453	DNp29	7	5.71987951807229	5.98192771084337	5.40060240963855	6.67469879518072	6.41566265060241	6.15361445783133	6.07530120481928	8.01807228915663	9.03614457831325	4.71686746987952	6.01204819277108	3.73795180722892	7.23795180722892
454	DNp32	7	5.61144578313253	5.71686746987952	5.77710843373494	7.13253012048193	6.88855421686747	6.55120481927711	6.2289156626506	7.85240963855422	8.90963855421687	4.72289156626506	6	3.65963855421687	6.99397590361446
455	DNp48	7	5.46987951807229	6.37349397590361	5.68975903614458	7.79518072289157	7.37349397590361	6.91566265060241	7.09638554216868	7.38253012048193	8.83132530120482	6.18975903614458	6.69277108433735	4.43072289156627	7.34939759036145
456	DNp62	7	5.35542168674699	6.39457831325301	5.78614457831325	7.01807228915663	6.73493975903614	6.21987951807229	6.62048192771084	7.05421686746988	9.18975903614458	5.10542168674699	6.54518072289157	4.12951807228916	7.41265060240964
457	DNpe033	7	4.20481927710843	5.95481927710843	5.79518072289157	8.28614457831325	7.66867469879518	6.94578313253012	7.5	6.81927710843373	9.04518072289157	5.84036144578313	6.53614457831325	4.49096385542169	7.11746987951807
458	DNpe035	7	4.77710843373494	5.71385542168675	5.74397590361446	8.09638554216867	7.60240963855422	6.95783132530121	7.46987951807229	6.97590361445783	8.88855421686747	5.89156626506024	6.55722891566265	3.90963855421687	6.60542168674699
459	DNpe041	7	5.56626506024096	6.17168674698795	6.10542168674699	8.08433734939759	7.56626506024096	7.12650602409639	7.58433734939759	7.53313253012048	9.17771084337349	6.00903614457831	6.79216867469879	4.7710843373494	7.30120481927711
460	DNpe048	7	5.53614457831325	5.98192771084337	5.99096385542169	7.89759036144578	7.4789156626506	7.08132530120482	7.14156626506024	7.62650602409639	8.39457831325301	5.93674698795181	6.30421686746988	3.87349397590361	6.66566265060241
461	oviDNa	7	5.17771084337349	6.66867469879518	5.9789156626506	7.71987951807229	7.05120481927711	6.55421686746988	7.04518072289157	7.21084337349398	8.96686746987952	6.04216867469879	6.89759036144578	4.30722891566265	7.46084337349398
